# iterations	 errorinentropy	 maxerror
6.031e+09	0.02061	0.078
6.049e+09	0.02219	0.073
6.065e+09	0.02113	0.072
6.08e+09	0.02045	0.071
6.098e+09	0.02008	0.07
6.115e+09	0.02175	0.0725
6.131e+09	0.02051	0.071
6.148e+09	0.02034	0.07
6.163e+09	0.02118	0.0691
6.181e+09	0.02072	0.0687
6.197e+09	0.02037	0.0664
6.213e+09	0.02113	0.0698
6.23e+09	0.02104	0.0697
6.247e+09	0.02148	0.07
6.263e+09	0.02104	0.0694
6.279e+09	0.02013	0.0656
6.297e+09	0.02276	0.073
6.314e+09	0.02271	0.0726
6.331e+09	0.02224	0.0721
6.348e+09	0.02127	0.0697
6.365e+09	0.02044	0.0664
6.381e+09	0.02106	0.0693
6.398e+09	0.02038	0.0679
6.415e+09	0.01979	0.0661
6.432e+09	0.01954	0.066
6.449e+09	0.01813	0.0625
6.465e+09	0.01764	0.0599
6.483e+09	0.01657	0.0562
6.501e+09	0.0156	0.0541
6.518e+09	0.01527	0.0532
6.535e+09	0.01573	0.0553
6.553e+09	0.01511	0.0531
6.569e+09	0.01421	0.0504
6.588e+09	0.01333	0.0473
6.605e+09	0.01169	0.042
6.624e+09	0.01127	0.0422
6.641e+09	0.01077	0.0414
6.658e+09	0.01004	0.0387
6.676e+09	0.009297	0.0386
6.694e+09	0.009038	0.0385
6.712e+09	0.008409	0.0364
6.729e+09	0.008022	0.0343
6.748e+09	0.007907	0.034
6.766e+09	0.007468	0.033
6.783e+09	0.008127	0.033
6.8e+09	0.007646	0.033
6.818e+09	0.007096	0.032
6.836e+09	0.00775	0.032
6.854e+09	0.006201	0.03
6.872e+09	0.01219	0.043
6.889e+09	0.0126	0.0445
6.907e+09	0.01206	0.043
6.924e+09	0.01171	0.0413
6.942e+09	0.01064	0.039
6.959e+09	0.009873	0.038
6.977e+09	0.01244	0.0433
6.995e+09	0.01182	0.0417
7.013e+09	0.01214	0.0416
7.03e+09	0.01205	0.042
7.05e+09	0.01339	0.0458
7.068e+09	0.01309	0.045
7.086e+09	0.01754	0.055
7.104e+09	0.01678	0.0524
7.122e+09	0.0165	0.0516
7.14e+09	0.01536	0.05
7.158e+09	0.01499	0.0494
7.176e+09	0.01486	0.0483
7.195e+09	0.01346	0.0448
7.221e+09	0.01295	0.0426
7.247e+09	0.01183	0.0397
7.273e+09	0.01195	0.0393
7.297e+09	0.01039	0.0354
7.328e+09	0.008205	0.0288
7.355e+09	0.00626	0.0239
7.382e+09	0.007826	0.027
7.413e+09	0.006271	0.023
7.439e+09	0.006436	0.0234
7.47e+09	0.005527	0.021
7.501e+09	0.00476	0.018
7.53e+09	0.003372	0.017
7.561e+09	0.003784	0.017
7.587e+09	0.003139	0.016
7.618e+09	0.001958	0.0156
7.649e+09	0.001545	0.014
7.676e+09	0.00224	0.013
7.704e+09	0.004051	0.0137
7.735e+09	0.004286	0.0143
7.765e+09	0.003363	0.0113
7.792e+09	0.002679	0.011
7.82e+09	0.001206	0.00604
7.848e+09	0.0005383	0.0028
7.877e+09	0	0
7.902e+09	0.0008413	0.0031
7.933e+09	0.001074	0.0047
7.964e+09	0.001834	0.012
7.993e+09	0.001089	0.011
8.024e+09	0.001431	0.012
8.052e+09	0.002664	0.01436
8.08e+09	0.002511	0.017
8.109e+09	0.002804	0.017
8.137e+09	0.00758	0.05
8.162e+09	0.006997	0.05
8.197e+09	0.007057	0.048
8.229e+09	0.006691	0.048
8.257e+09	0.006571	0.048
8.291e+09	0.006707	0.047
8.321e+09	0.007568	0.048
8.349e+09	0.007475	0.047
8.38e+09	0.007264	0.047
8.412e+09	0.007135	0.046
8.438e+09	0.007915	0.047
8.468e+09	0.008972	0.047
8.499e+09	0.01002	0.047
8.534e+09	0.01079	0.047
8.558e+09	0.01206	0.0508
8.593e+09	0.0111	0.0476
8.622e+09	0.01205	0.0516
8.653e+09	0.01289	0.0544
8.684e+09	0.01334	0.057
8.715e+09	0.01357	0.0564
8.742e+09	0.01354	0.0565
8.771e+09	0.01309	0.0556
8.798e+09	0.01359	0.0571
8.827e+09	0.01445	0.0595
8.855e+09	0.01559	0.0618
8.883e+09	0.01678	0.065
8.917e+09	0.01779	0.0676
8.952e+09	0.01522	0.0604
8.986e+09	0.01631	0.0633
9.017e+09	0.01613	0.0623
9.051e+09	0.0171	0.0652
9.08e+09	0.0179	0.0682
9.115e+09	0.01833	0.0676
9.146e+09	0.01859	0.0704
9.178e+09	0.01951	0.0713
9.212e+09	0.01825	0.0678
9.241e+09	0.01913	0.0696
9.274e+09	0.02045	0.0754
9.307e+09	0.02236	0.0824
9.339e+09	0.02316	0.0833
9.373e+09	0.02205	0.0808
9.405e+09	0.02141	0.0797
9.436e+09	0.0197	0.0744
9.47e+09	0.01987	0.0754
9.498e+09	0.01973	0.0766
9.528e+09	0.02003	0.07683
9.559e+09	0.02058	0.07802
9.593e+09	0.02146	0.0805
9.622e+09	0.02178	0.0802
9.656e+09	0.02164	0.0795
9.69e+09	0.02106	0.0784
9.725e+09	0.02108	0.0782
9.759e+09	0.02167	0.0813
9.79e+09	0.02176	0.0804
9.817e+09	0.02237	0.0822
9.848e+09	0.02258	0.0825
9.879e+09	0.02312	0.0837
9.905e+09	0.02419	0.08752
9.94e+09	0.02358	0.0859
9.971e+09	0.02434	0.0878
1e+10	0.02365	0.0872
1.003e+10	0.02394	0.0881
1.006e+10	0.02477	0.0909
1.01e+10	0.02327	0.0872
1.013e+10	0.024	0.0896
1.016e+10	0.02501	0.0916
1.019e+10	0.02529	0.0927
1.023e+10	0.02556	0.0926
1.026e+10	0.0261	0.0953
1.029e+10	0.02689	0.0983
1.032e+10	0.02677	0.0971
1.035e+10	0.02717	0.0981
1.038e+10	0.02731	0.0979
1.041e+10	0.02553	0.0931
1.044e+10	0.02587	0.0945
1.047e+10	0.02584	0.0949
1.05e+10	0.02619	0.0951
1.054e+10	0.02514	0.0922
1.057e+10	0.02507	0.0917
1.06e+10	0.02612	0.0953
1.063e+10	0.02654	0.0974
1.066e+10	0.02567	0.0964
1.069e+10	0.02606	0.0984
1.072e+10	0.02628	0.0996
1.075e+10	0.02656	0.0986
1.079e+10	0.02745	0.1015
1.082e+10	0.02613	0.0982
1.085e+10	0.02704	0.1002
1.088e+10	0.02727	0.1009
1.091e+10	0.02712	0.1004
1.094e+10	0.02696	0.0993
1.097e+10	0.02615	0.0966
1.1e+10	0.02722	0.0999
1.103e+10	0.02859	0.104
1.107e+10	0.02922	0.106
1.11e+10	0.0277	0.1003
1.113e+10	0.02746	0.0992
1.116e+10	0.02689	0.0982
1.119e+10	0.02727	0.0989
1.122e+10	0.02785	0.1007
1.126e+10	0.02722	0.098
1.129e+10	0.02721	0.0992
1.132e+10	0.02746	0.0991
1.134e+10	0.02682	0.101
1.138e+10	0.0275	0.1039
1.141e+10	0.0282	0.104
1.144e+10	0.029	0.106
1.148e+10	0.02989	0.1074
1.15e+10	0.02653	0.0983
1.153e+10	0.0253	0.0945
1.155e+10	0.02448	0.0933
1.157e+10	0.02479	0.0939
1.159e+10	0.02384	0.0912
1.161e+10	0.0238	0.0927
1.163e+10	0.02439	0.0928
1.165e+10	0.01432	0.0941
1.167e+10	0.01439	0.0949
1.169e+10	0.01241	0.096
1.171e+10	0.01282	0.096
1.173e+10	0.01375	0.096
1.175e+10	0.01432	0.097
1.177e+10	0.01417	0.096
1.18e+10	0.01464	0.095
1.182e+10	0.01466	0.096
1.184e+10	0.0146	0.096
1.186e+10	0.01426	0.096
1.188e+10	0.01468	0.096
1.19e+10	0.01468	0.097
1.192e+10	0.01482	0.096
1.194e+10	0.01426	0.096
1.196e+10	0.01386	0.097
1.198e+10	0.01443	0.098
1.2e+10	0.01507	0.098
1.202e+10	0.01542	0.098
1.205e+10	0.01579	0.098
1.207e+10	0.01633	0.099
1.209e+10	0.01625	0.099
1.211e+10	0.01653	0.1
1.213e+10	0.01379	0.101
1.215e+10	0.01403	0.102
1.217e+10	0.01283	0.103
1.219e+10	0.01318	0.102
1.221e+10	0.01242	0.103
1.223e+10	0.01279	0.103
1.225e+10	0.01243	0.101
1.228e+10	0.01181	0.102
1.23e+10	0.008546	0.094
1.232e+10	0.008498	0.093
1.234e+10	0.008916	0.093
1.237e+10	0.009084	0.093
1.239e+10	0.008788	0.092
1.241e+10	0.007741	0.093
1.243e+10	0.007558	0.094
1.245e+10	0.007474	0.094
1.247e+10	0.007395	0.094
1.249e+10	0.02058	0.136
1.251e+10	0.0203	0.135
1.253e+10	0.02012	0.136
1.255e+10	0.01983	0.136
1.257e+10	0.01948	0.135
1.259e+10	0.02141	0.135
1.261e+10	0.02127	0.135
1.263e+10	0.02047	0.134
1.266e+10	0.02009	0.134
