# iterations	 errorinentropy	 maxerror
3.946e+09	1.7	22.44
3.959e+09	1.704	22.44
3.973e+09	1.707	22.44
3.986e+09	1.712	22.44
4e+09	1.715	22.44
4.013e+09	1.718	22.44
4.027e+09	1.72	22.44
4.04e+09	1.723	22.44
4.053e+09	1.729	22.44
4.067e+09	1.727	22.44
4.08e+09	1.73	22.44
4.093e+09	1.689	22.44
4.107e+09	1.69	22.44
4.12e+09	1.695	22.44
4.134e+09	1.697	22.44
4.147e+09	1.701	22.44
4.16e+09	1.701	22.44
4.174e+09	1.704	22.44
4.187e+09	1.704	22.44
4.201e+09	1.706	22.44
4.214e+09	1.708	22.44
4.227e+09	1.703	22.44
4.241e+09	1.707	22.44
4.254e+09	1.706	22.44
4.268e+09	1.701	22.44
4.281e+09	1.7	22.44
4.295e+09	1.704	22.44
4.308e+09	1.708	22.44
4.321e+09	1.709	22.44
4.335e+09	1.712	22.44
4.348e+09	1.714	22.44
4.361e+09	1.704	22.44
4.375e+09	1.708	22.44
4.388e+09	1.711	22.44
4.401e+09	1.711	22.44
4.415e+09	1.714	22.44
4.428e+09	1.717	22.44
4.441e+09	1.721	22.44
4.455e+09	1.725	22.44
4.468e+09	1.723	22.44
4.482e+09	1.701	22.44
4.495e+09	1.701	22.44
4.509e+09	1.704	22.44
4.522e+09	1.697	22.44
4.536e+09	1.7	22.44
4.55e+09	1.702	22.44
4.563e+09	1.704	22.44
4.577e+09	1.705	22.44
4.59e+09	1.707	22.44
4.604e+09	1.705	22.44
4.617e+09	1.696	22.44
4.631e+09	1.695	22.44
4.644e+09	1.698	22.44
4.658e+09	1.691	22.44
4.671e+09	1.639	22.44
4.685e+09	1.642	22.44
4.698e+09	1.645	22.44
4.712e+09	1.643	22.44
4.725e+09	1.646	22.44
4.739e+09	1.646	22.44
4.752e+09	1.649	22.44
4.766e+09	1.652	22.44
4.779e+09	1.647	22.44
4.793e+09	1.651	22.44
4.806e+09	1.653	22.44
4.82e+09	1.657	22.44
4.833e+09	1.661	22.44
4.847e+09	1.654	22.44
4.86e+09	1.637	22.44
4.874e+09	1.638	22.44
4.887e+09	1.64	22.44
4.901e+09	1.634	22.44
4.914e+09	1.637	22.44
4.928e+09	1.621	26.38
4.941e+09	1.62	26.38
4.955e+09	1.62	26.38
4.968e+09	1.619	26.37
4.981e+09	1.618	26.36
4.995e+09	1.617	26.36
5.008e+09	1.616	26.35
5.022e+09	1.615	26.34
5.035e+09	1.615	26.34
5.049e+09	1.614	26.33
5.062e+09	1.613	26.33
5.076e+09	1.612	26.32
5.089e+09	1.612	26.32
5.103e+09	1.611	26.31
5.116e+09	1.61	26.3
5.13e+09	1.609	26.3
5.143e+09	1.609	26.29
5.157e+09	1.608	26.29
5.17e+09	1.605	26.28
5.184e+09	1.605	26.27
5.198e+09	1.604	26.27
5.211e+09	1.603	26.26
5.225e+09	1.602	26.26
5.238e+09	1.601	26.25
5.252e+09	1.6	26.25
5.265e+09	1.599	26.24
5.279e+09	1.599	26.24
5.292e+09	1.598	26.23
5.306e+09	1.597	26.23
5.319e+09	1.596	26.23
5.333e+09	1.595	26.22
5.346e+09	1.595	26.22
5.36e+09	1.595	26.21
5.373e+09	1.594	26.21
5.387e+09	1.594	26.21
5.4e+09	1.593	26.2
5.414e+09	1.593	26.2
5.427e+09	1.592	26.2
5.441e+09	1.592	26.2
5.454e+09	1.591	26.19
5.468e+09	1.591	26.19
5.481e+09	1.59	26.18
5.495e+09	1.589	26.17
5.508e+09	1.588	26.17
5.522e+09	1.587	26.17
5.535e+09	1.586	26.16
5.549e+09	1.586	26.16
5.562e+09	1.586	26.16
5.576e+09	1.585	26.15
5.589e+09	1.585	26.15
5.603e+09	1.584	26.14
5.616e+09	1.583	26.14
5.63e+09	1.582	26.13
5.643e+09	1.582	26.13
5.657e+09	1.581	26.13
5.67e+09	1.58	26.12
5.684e+09	1.579	26.12
5.697e+09	1.579	26.11
5.711e+09	1.578	26.11
5.724e+09	1.576	26.1
5.738e+09	1.575	26.09
5.751e+09	1.575	26.09
5.765e+09	1.575	26.09
5.778e+09	1.574	26.08
5.792e+09	1.573	26.08
5.805e+09	1.573	26.07
5.819e+09	1.572	26.07
